date,estimated-transaction-volume-usd
2021-06-29,3300219147.3776546
2021-07-03,1526282960.7179453
2021-07-07,2415077701.787478
2021-07-11,1361224001.4296572
2021-07-15,3546057522.319202
2021-07-19,2991573664.253314
2021-07-23,2519917919.132724
2021-07-27,7345558779.508659
2021-07-31,1924780316.6358085
2021-08-04,4094514095.0958066
2021-08-08,2863365745.2230344
2021-08-12,3433253898.4565864
2021-08-16,4336625433.375353
2021-08-20,5683508929.504638
2021-08-24,4160097929.5734167
2021-08-28,1828986483.5579357
2021-09-01,5449363613.813484
2021-09-05,1996712056.7162685
2021-09-09,5369011441.333743
2021-09-13,4380249885.695589
2021-09-17,3314093143.0119085
2021-09-21,3816937965.8233886
2021-09-25,1498517647.7164574
2021-09-29,3012885641.9155345
2021-10-03,1994398643.2795122
2021-10-07,7063813953.370817
2021-10-11,5135609835.395792
2021-10-15,8109890836.895517
2021-10-19,7660166168.948563
2021-10-23,2756385871.7599506
2021-10-27,6142467781.29035
2021-10-31,3075083985.1806726
2021-11-04,4812348605.691654
2021-11-08,7868335326.849565
2021-11-12,6291969519.770697
2021-11-16,10498129183.520773
2021-11-20,2884513913.260687
2021-11-24,5700109165.167301
2021-11-28,1876057612.1335888
2021-12-02,7681001473.682921
2021-12-06,7568392055.448132
2021-12-10,4646748174.122106
2021-12-15,3686557930.097905
2021-12-19,1192663841.0107796
2021-12-25,5400013382.068076
2021-12-29,6252375351.267551
2022-01-02,1452133098.9064906
2022-01-06,6001701242.969663
2022-01-10,4284557316.178955
2022-01-14,4033611360.8800573
2022-01-18,3467788987.631183
2022-01-22,5255522709.505004
2022-01-26,4724487375.564173
2022-01-30,6463007675.5186
2022-02-03,3817962311.6168633
2022-02-07,5383799346.894287
2022-02-11,6311800630.988444
2022-02-15,5996275894.199901
2022-02-19,1623004423.9240785
2022-02-23,3017861449.2149425
2022-02-27,1844114530.6029348
2022-03-03,4573611315.379651
2022-03-07,4567257671.422741
2022-03-11,5267029596.149032
2022-03-15,3536984794.9247446
2022-03-19,2228834886.153519
2022-03-23,3963031462.550204
2022-03-27,4081241680.3127346
2022-03-31,7725089743.2688265
2022-04-04,4927607024.269423
2022-04-08,3214336086.8389087
2022-04-12,3550344586.310289
2022-04-16,1777062284.0750253
2022-04-20,5390335872.441646
2022-04-24,1742817144.3961654
2022-04-28,4742383660.078528
2022-05-02,4705106674.739815
2022-05-06,6460559731.289358
2022-05-10,10996659378.460312
2022-05-14,4499178550.730882
2022-05-18,4686908961.0082655
2022-05-22,1693623105.0447593
2022-05-26,4044772416.690988
2022-05-30,3565732409.560262
2022-06-03,4251283075.0981903
2022-06-07,4259209247.746276
2022-06-11,2694837263.3840175
2022-06-15,9897143640.083742
